file,input_rows,removed_rows,output_rows
2023/explicit_mentions_raw_2023_abcd_v1.csv,25890,443,25447
2023/explicit_mentions_raw_2023_abcd_v1_nonraw.csv,25890,443,25447
2023/explicit_mentions_raw_2023_abcd_v1_org_diff.csv,11052,2,11050
2023/mentions_for_llm_2023.csv,46850,293,46557
2023/union_filtered_prefilter_output_2023_abcd_v1.csv,25890,443,25447
2023/union_filtered_prefilter_output_2023_abcd_v1_cleaned.csv,25890,443,25447
2023_abcd/candidate_windows_broad_or_implicit.csv,8955,170,8785
2023_abcd/candidate_windows_contextual_explicit.csv,20668,356,20312
2023_abcd/candidate_windows_strict_explicit.csv,5222,84,5138
2024/explicit_mentions_raw_2024_abcd_v1.csv,23446,432,23014
2024/explicit_mentions_raw_2024_abcd_v1_nonraw.csv,23446,432,23014
2024/mentions_for_llm_2024.csv,43059,289,42770
2024/union_filtered_prefilter_output_2024_abcd_v1.csv,23446,432,23014
2024/union_filtered_prefilter_output_2024_abcd_v1_cleaned.csv,23446,432,23014
combined_manifest_output_smoketest/manifest.csv,5877,175,5702
ORG_detection/2023_candidate_windows_broad_or_implicit.csv,8955,170,8785
ORG_detection/2023_candidate_windows_contextual_explicit.csv,20668,356,20312
ORG_detection/2023_candidate_windows_strict_explicit.csv,5222,84,5138
ORG_detection/2023_explicit_candidate_windows.csv,25890,440,25450
ORG_detection/2023_manifest.csv,5877,175,5702
ORG_detection_sample/2023_candidate_windows.csv,34845,610,34235
ORG_detection_sample/2023_candidate_windows_broad_or_implicit.csv,8955,170,8785
ORG_detection_sample/2023_candidate_windows_contextual_explicit.csv,20668,356,20312
ORG_detection_sample/2023_candidate_windows_strict_explicit.csv,5222,84,5138
ORG_detection_sample/2023_explicit_candidate_windows.csv,25890,440,25450
ORG_detection_sample/2023_manifest.csv,5877,175,5702
ORG_detection_sample/nonraw.csv,2000,30,1970
ORG_detection_sample/ORG_Strict_Input_600.csv,600,9,591
ORG_detection_sample/ORG_Strict_NonRaw_600.csv,600,9,591
ORG_detection_sample/ORG_Strict_Raw_600.csv,600,9,591
ORG_detection_sample/raw.csv,2000,30,1970
ORG_detection_sample/union.csv,2000,30,1970
ORG_detection_sample/union_filtered.csv,2000,30,1970
ORG_detection_sample/union_filtered_prefilter_output.csv,2000,30,1970
ORG_detection_sample/union_filtered_prefilter_output_cleaned.csv,2000,30,1970
ORG_detection_sample/union_filtered_prefilter_output_rebuilt.csv,2000,30,1970
SEC/2023_10k_filings_metadata.csv,7366,243,7123
ORG_detection/2023_manifest/manifest.csv,5877,175,5702
combined_manifest_output_smoketest/abcd_v2_random500/candidate_windows.csv,3556,63,3493
combined_manifest_output_smoketest/abcd_v2_random500/explicit_candidate_windows.csv,2126,29,2097
combined_manifest_output_smoketest/abcd_v2_random500/explicit_candidate_windows_2000.csv,2000,29,1971
combined_manifest_output_smoketest/abc_random50/candidate_windows.csv,508,62,446
2024/2024_abcd_v1/candidate_windows_broad_or_implicit.csv,7902,190,7712
2024/2024_abcd_v1/candidate_windows_contextual_explicit.csv,18630,345,18285
2024/2024_abcd_v1/candidate_windows_strict_explicit.csv,4816,86,4730
2024/2024_abcd_v1/explicit_candidate_windows_strict_explicit.csv,23446,431,23015
2024/2024_manifest_v1/manifest.csv,5266,175,5091
2024/2024_manifest_v1/2024_manifest/manifest.csv,5266,175,5091
2023/2023_10K_business_sample_200/manifest.csv,11143,350,10793
2023/2023_abcd_v1/candidate_windows.csv,34845,610,34235
2023/2023_abcd_v1/candidate_windows_broad_or_implicit.csv,8955,170,8785
2023/2023_abcd_v1/candidate_windows_contextual_explicit.csv,20668,356,20312
2023/2023_abcd_v1/candidate_windows_strict_explicit.csv,5222,84,5138
2023/2023_abcd_v1/explicit_candidate_windows_strict_explicit.csv,25890,440,25450
2023/2023_manifest_v1/manifest.csv,5877,175,5702
2023/2023_manifest_v1/2023_manifest/manifest.csv,5877,175,5702
